AFFGEOID,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US04013040530,4013040530,"Census Tract 405.30, Maricopa County, Arizona",4193,508
1400000US04013040531,4013040531,"Census Tract 405.31, Maricopa County, Arizona",3494,303
1400000US04013050603,4013050603,"Census Tract 506.03, Maricopa County, Arizona",3867,515
1400000US04013050604,4013050604,"Census Tract 506.04, Maricopa County, Arizona",3232,616
1400000US04013050605,4013050605,"Census Tract 506.05, Maricopa County, Arizona",6385,462
1400000US04013050606,4013050606,"Census Tract 506.06, Maricopa County, Arizona",7497,787
1400000US04013050607,4013050607,"Census Tract 506.07, Maricopa County, Arizona",7396,773
1400000US04013050608,4013050608,"Census Tract 506.08, Maricopa County, Arizona",7359,818
1400000US04013050609,4013050609,"Census Tract 506.09, Maricopa County, Arizona",5080,542
1400000US04013050610,4013050610,"Census Tract 506.10, Maricopa County, Arizona",8524,1022
1400000US04013050611,4013050611,"Census Tract 506.11, Maricopa County, Arizona",4719,708
1400000US04013050701,4013050701,"Census Tract 507.01, Maricopa County, Arizona",5349,464
1400000US04013050702,4013050702,"Census Tract 507.02, Maricopa County, Arizona",5353,466
1400000US04013060801,4013060801,"Census Tract 608.01, Maricopa County, Arizona",6309,815
1400000US04013060802,4013060802,"Census Tract 608.02, Maricopa County, Arizona",2503,271
1400000US04013060901,4013060901,"Census Tract 609.01, Maricopa County, Arizona",4576,436
1400000US04013060902,4013060902,"Census Tract 609.02, Maricopa County, Arizona",3148,638
1400000US04013060903,4013060903,"Census Tract 609.03, Maricopa County, Arizona",4986,633
1400000US04013060904,4013060904,"Census Tract 609.04, Maricopa County, Arizona",3522,386
1400000US04013061009,4013061009,"Census Tract 610.09, Maricopa County, Arizona",8887,734
1400000US04013061010,4013061010,"Census Tract 610.10, Maricopa County, Arizona",4611,226
1400000US04013061011,4013061011,"Census Tract 610.11, Maricopa County, Arizona",5520,611
1400000US04013061012,4013061012,"Census Tract 610.12, Maricopa County, Arizona",8074,794
1400000US04013061013,4013061013,"Census Tract 610.13, Maricopa County, Arizona",5642,686
1400000US04013061014,4013061014,"Census Tract 610.14, Maricopa County, Arizona",5785,615
1400000US04013061015,4013061015,"Census Tract 610.15, Maricopa County, Arizona",6479,504
1400000US04013061016,4013061016,"Census Tract 610.16, Maricopa County, Arizona",4741,594
1400000US04013061017,4013061017,"Census Tract 610.17, Maricopa County, Arizona",3351,639
1400000US04013061018,4013061018,"Census Tract 610.18, Maricopa County, Arizona",4592,430
1400000US04013061019,4013061019,"Census Tract 610.19, Maricopa County, Arizona",3300,375
1400000US04013061020,4013061020,"Census Tract 610.20, Maricopa County, Arizona",3699,543
1400000US04013061021,4013061021,"Census Tract 610.21, Maricopa County, Arizona",2021,274
1400000US04013061022,4013061022,"Census Tract 610.22, Maricopa County, Arizona",10846,800
1400000US04013061023,4013061023,"Census Tract 610.23, Maricopa County, Arizona",11167,783
1400000US04013061024,4013061024,"Census Tract 610.24, Maricopa County, Arizona",2468,306
1400000US04013061025,4013061025,"Census Tract 610.25, Maricopa County, Arizona",7313,1003
1400000US04013061026,4013061026,"Census Tract 610.26, Maricopa County, Arizona",5358,496
1400000US04013061027,4013061027,"Census Tract 610.27, Maricopa County, Arizona",4840,767
1400000US04013061028,4013061028,"Census Tract 610.28, Maricopa County, Arizona",2347,364
1400000US04013061029,4013061029,"Census Tract 610.29, Maricopa County, Arizona",4928,576
1400000US04013061030,4013061030,"Census Tract 610.30, Maricopa County, Arizona",7684,765
1400000US04013061031,4013061031,"Census Tract 610.31, Maricopa County, Arizona",3710,624
1400000US04013061032,4013061032,"Census Tract 610.32, Maricopa County, Arizona",6009,827
1400000US04013061033,4013061033,"Census Tract 610.33, Maricopa County, Arizona",6422,582
1400000US04013061034,4013061034,"Census Tract 610.34, Maricopa County, Arizona",6230,712
1400000US04013061035,4013061035,"Census Tract 610.35, Maricopa County, Arizona",7221,519
1400000US04013061036,4013061036,"Census Tract 610.36, Maricopa County, Arizona",2926,595
1400000US04013061037,4013061037,"Census Tract 610.37, Maricopa County, Arizona",4959,514
1400000US04013061038,4013061038,"Census Tract 610.38, Maricopa County, Arizona",4440,849
1400000US04013061039,4013061039,"Census Tract 610.39, Maricopa County, Arizona",4337,473
1400000US04013061040,4013061040,"Census Tract 610.40, Maricopa County, Arizona",4349,421
1400000US04013061041,4013061041,"Census Tract 610.41, Maricopa County, Arizona",4567,531
1400000US04013061042,4013061042,"Census Tract 610.42, Maricopa County, Arizona",2353,487
1400000US04013061043,4013061043,"Census Tract 610.43, Maricopa County, Arizona",2596,273
1400000US04013061044,4013061044,"Census Tract 610.44, Maricopa County, Arizona",6264,747
1400000US04013061045,4013061045,"Census Tract 610.45, Maricopa County, Arizona",5352,496
1400000US04013061046,4013061046,"Census Tract 610.46, Maricopa County, Arizona",5862,699
1400000US04013061047,4013061047,"Census Tract 610.47, Maricopa County, Arizona",3391,268
1400000US04013061100,4013061100,"Census Tract 611, Maricopa County, Arizona",2551,371
1400000US04013061200,4013061200,"Census Tract 612, Maricopa County, Arizona",5829,534
1400000US04013061300,4013061300,"Census Tract 613, Maricopa County, Arizona",2028,234
1400000US04013061401,4013061401,"Census Tract 614.01, Maricopa County, Arizona",1833,287
1400000US04013061402,4013061402,"Census Tract 614.02, Maricopa County, Arizona",5034,606
1400000US04013071503,4013071503,"Census Tract 715.03, Maricopa County, Arizona",4726,349
1400000US04013071504,4013071504,"Census Tract 715.04, Maricopa County, Arizona",3496,283
1400000US04013071505,4013071505,"Census Tract 715.05, Maricopa County, Arizona",6467,486
1400000US04013071506,4013071506,"Census Tract 715.06, Maricopa County, Arizona",3999,293
1400000US04013071509,4013071509,"Census Tract 715.09, Maricopa County, Arizona",5868,481
1400000US04013071510,4013071510,"Census Tract 715.10, Maricopa County, Arizona",4330,337
1400000US04013071511,4013071511,"Census Tract 715.11, Maricopa County, Arizona",3375,331
1400000US04013071512,4013071512,"Census Tract 715.12, Maricopa County, Arizona",6130,501
1400000US04013071513,4013071513,"Census Tract 715.13, Maricopa County, Arizona",1725,135
1400000US04013071514,4013071514,"Census Tract 715.14, Maricopa County, Arizona",4525,434
1400000US04013071515,4013071515,"Census Tract 715.15, Maricopa County, Arizona",3632,355
1400000US04013071516,4013071516,"Census Tract 715.16, Maricopa County, Arizona",3065,367
1400000US04013071517,4013071517,"Census Tract 715.17, Maricopa County, Arizona",3934,286
1400000US04013071600,4013071600,"Census Tract 716, Maricopa County, Arizona",3540,208
1400000US04013071701,4013071701,"Census Tract 717.01, Maricopa County, Arizona",3045,273
1400000US04013071702,4013071702,"Census Tract 717.02, Maricopa County, Arizona",3195,334
1400000US04013071801,4013071801,"Census Tract 718.01, Maricopa County, Arizona",4857,540
1400000US04013071802,4013071802,"Census Tract 718.02, Maricopa County, Arizona",3357,269
1400000US04013071903,4013071903,"Census Tract 719.03, Maricopa County, Arizona",6897,689
1400000US04013071906,4013071906,"Census Tract 719.06, Maricopa County, Arizona",5844,507
1400000US04013071909,4013071909,"Census Tract 719.09, Maricopa County, Arizona",4195,326
1400000US04013071910,4013071910,"Census Tract 719.10, Maricopa County, Arizona",7303,773
1400000US04013071911,4013071911,"Census Tract 719.11, Maricopa County, Arizona",3450,329
1400000US04013071912,4013071912,"Census Tract 719.12, Maricopa County, Arizona",2757,464
1400000US04013071913,4013071913,"Census Tract 719.13, Maricopa County, Arizona",5109,691
1400000US04013071914,4013071914,"Census Tract 719.14, Maricopa County, Arizona",3635,398
1400000US04013071915,4013071915,"Census Tract 719.15, Maricopa County, Arizona",3666,612
1400000US04013082002,4013082002,"Census Tract 820.02, Maricopa County, Arizona",5672,659
1400000US04013082007,4013082007,"Census Tract 820.07, Maricopa County, Arizona",3798,562
1400000US04013082008,4013082008,"Census Tract 820.08, Maricopa County, Arizona",5712,526
1400000US04013082009,4013082009,"Census Tract 820.09, Maricopa County, Arizona",5576,665
1400000US04013082010,4013082010,"Census Tract 820.10, Maricopa County, Arizona",3840,622
1400000US04013082012,4013082012,"Census Tract 820.12, Maricopa County, Arizona",6083,587
1400000US04013082016,4013082016,"Census Tract 820.16, Maricopa County, Arizona",2715,465
1400000US04013082017,4013082017,"Census Tract 820.17, Maricopa County, Arizona",5093,937
1400000US04013082018,4013082018,"Census Tract 820.18, Maricopa County, Arizona",5110,614
1400000US04013082019,4013082019,"Census Tract 820.19, Maricopa County, Arizona",2292,213
1400000US04013082020,4013082020,"Census Tract 820.20, Maricopa County, Arizona",3863,439
1400000US04013082021,4013082021,"Census Tract 820.21, Maricopa County, Arizona",1817,203
1400000US04013082022,4013082022,"Census Tract 820.22, Maricopa County, Arizona",3940,395
1400000US04013082023,4013082023,"Census Tract 820.23, Maricopa County, Arizona",5188,477
1400000US04013082024,4013082024,"Census Tract 820.24, Maricopa County, Arizona",4649,517
1400000US04013082025,4013082025,"Census Tract 820.25, Maricopa County, Arizona",2305,366
1400000US04013082026,4013082026,"Census Tract 820.26, Maricopa County, Arizona",5706,564
1400000US04013082027,4013082027,"Census Tract 820.27, Maricopa County, Arizona",4101,353
1400000US04013082028,4013082028,"Census Tract 820.28, Maricopa County, Arizona",4010,597
1400000US04013082203,4013082203,"Census Tract 822.03, Maricopa County, Arizona",8484,806
1400000US04013082204,4013082204,"Census Tract 822.04, Maricopa County, Arizona",6421,426
1400000US04013082205,4013082205,"Census Tract 822.05, Maricopa County, Arizona",5096,611
1400000US04013082206,4013082206,"Census Tract 822.06, Maricopa County, Arizona",3260,506
1400000US04013082207,4013082207,"Census Tract 822.07, Maricopa County, Arizona",2815,405
1400000US04013082208,4013082208,"Census Tract 822.08, Maricopa County, Arizona",3808,536
1400000US04013082209,4013082209,"Census Tract 822.09, Maricopa County, Arizona",3000,338
1400000US04013082210,4013082210,"Census Tract 822.10, Maricopa County, Arizona",4598,578
1400000US04013082211,4013082211,"Census Tract 822.11, Maricopa County, Arizona",4920,661
1400000US04013083000,4013083000,"Census Tract 830, Maricopa County, Arizona",6707,22
1400000US04013092305,4013092305,"Census Tract 923.05, Maricopa County, Arizona",4283,546
1400000US04013092306,4013092306,"Census Tract 923.06, Maricopa County, Arizona",6462,571
1400000US04013092307,4013092307,"Census Tract 923.07, Maricopa County, Arizona",6241,654
1400000US04013092308,4013092308,"Census Tract 923.08, Maricopa County, Arizona",6704,803
1400000US04013092309,4013092309,"Census Tract 923.09, Maricopa County, Arizona",5334,555
1400000US04013092311,4013092311,"Census Tract 923.11, Maricopa County, Arizona",2135,485
1400000US04013092312,4013092312,"Census Tract 923.12, Maricopa County, Arizona",5452,454
1400000US04013092401,4013092401,"Census Tract 924.01, Maricopa County, Arizona",4137,628
1400000US04013092402,4013092402,"Census Tract 924.02, Maricopa County, Arizona",3136,422
1400000US04013092500,4013092500,"Census Tract 925, Maricopa County, Arizona",4958,609
1400000US04013092600,4013092600,"Census Tract 926, Maricopa County, Arizona",3639,523
1400000US04013092705,4013092705,"Census Tract 927.05, Maricopa County, Arizona",3557,395
1400000US04013092708,4013092708,"Census Tract 927.08, Maricopa County, Arizona",1948,296
1400000US04013092709,4013092709,"Census Tract 927.09, Maricopa County, Arizona",4615,441
1400000US04013092710,4013092710,"Census Tract 927.10, Maricopa County, Arizona",4239,467
1400000US04013092711,4013092711,"Census Tract 927.11, Maricopa County, Arizona",3545,350
1400000US04013092712,4013092712,"Census Tract 927.12, Maricopa County, Arizona",4454,384
1400000US04013092713,4013092713,"Census Tract 927.13, Maricopa County, Arizona",4508,480
1400000US04013092715,4013092715,"Census Tract 927.15, Maricopa County, Arizona",4662,704
1400000US04013092716,4013092716,"Census Tract 927.16, Maricopa County, Arizona",4100,513
1400000US04013092717,4013092717,"Census Tract 927.17, Maricopa County, Arizona",4799,543
1400000US04013092718,4013092718,"Census Tract 927.18, Maricopa County, Arizona",4100,568
1400000US04013092719,4013092719,"Census Tract 927.19, Maricopa County, Arizona",4008,553
1400000US04013092720,4013092720,"Census Tract 927.20, Maricopa County, Arizona",4790,723
1400000US04013092721,4013092721,"Census Tract 927.21, Maricopa County, Arizona",2999,238
1400000US04013092723,4013092723,"Census Tract 927.23, Maricopa County, Arizona",3777,424
1400000US04013092724,4013092724,"Census Tract 927.24, Maricopa County, Arizona",3506,355
1400000US04013092801,4013092801,"Census Tract 928.01, Maricopa County, Arizona",5256,819
1400000US04013092802,4013092802,"Census Tract 928.02, Maricopa County, Arizona",5558,636
1400000US04013092900,4013092900,"Census Tract 929, Maricopa County, Arizona",2841,448
1400000US04013093001,4013093001,"Census Tract 930.01, Maricopa County, Arizona",5289,717
1400000US04013093002,4013093002,"Census Tract 930.02, Maricopa County, Arizona",4330,506
1400000US04013093101,4013093101,"Census Tract 931.01, Maricopa County, Arizona",4737,604
1400000US04013093104,4013093104,"Census Tract 931.04, Maricopa County, Arizona",4447,389
1400000US04013093105,4013093105,"Census Tract 931.05, Maricopa County, Arizona",5668,689
1400000US04013093106,4013093106,"Census Tract 931.06, Maricopa County, Arizona",4250,490
1400000US04013093200,4013093200,"Census Tract 932, Maricopa County, Arizona",2970,413
1400000US04013103205,4013103205,"Census Tract 1032.05, Maricopa County, Arizona",2872,167
1400000US04013103206,4013103206,"Census Tract 1032.06, Maricopa County, Arizona",2446,259
1400000US04013103207,4013103207,"Census Tract 1032.07, Maricopa County, Arizona",2557,178
1400000US04013103208,4013103208,"Census Tract 1032.08, Maricopa County, Arizona",3936,369
1400000US04013103209,4013103209,"Census Tract 1032.09, Maricopa County, Arizona",5002,493
1400000US04013103210,4013103210,"Census Tract 1032.10, Maricopa County, Arizona",6773,646
1400000US04013103211,4013103211,"Census Tract 1032.11, Maricopa County, Arizona",4384,299
1400000US04013103212,4013103212,"Census Tract 1032.12, Maricopa County, Arizona",4289,340
1400000US04013103214,4013103214,"Census Tract 1032.14, Maricopa County, Arizona",3820,231
1400000US04013103215,4013103215,"Census Tract 1032.15, Maricopa County, Arizona",2784,240
1400000US04013103216,4013103216,"Census Tract 1032.16, Maricopa County, Arizona",5306,341
1400000US04013103217,4013103217,"Census Tract 1032.17, Maricopa County, Arizona",6567,701
1400000US04013103219,4013103219,"Census Tract 1032.19, Maricopa County, Arizona",2721,305
1400000US04013103220,4013103220,"Census Tract 1032.20, Maricopa County, Arizona",2932,278
1400000US04013103302,4013103302,"Census Tract 1033.02, Maricopa County, Arizona",7034,651
1400000US04013103303,4013103303,"Census Tract 1033.03, Maricopa County, Arizona",3747,359
1400000US04013103304,4013103304,"Census Tract 1033.04, Maricopa County, Arizona",5536,718
1400000US04013103305,4013103305,"Census Tract 1033.05, Maricopa County, Arizona",3061,418
1400000US04013103306,4013103306,"Census Tract 1033.06, Maricopa County, Arizona",3970,473
1400000US04013103400,4013103400,"Census Tract 1034, Maricopa County, Arizona",4789,365
1400000US04013103501,4013103501,"Census Tract 1035.01, Maricopa County, Arizona",3659,370
1400000US04013103502,4013103502,"Census Tract 1035.02, Maricopa County, Arizona",5914,690
1400000US04013103604,4013103604,"Census Tract 1036.04, Maricopa County, Arizona",3800,408
