AFFGEOID,GEOID,GEO.display-label,pop,margin
1400000US04013061021,4.0E+09,"Census Tract 610.21, Maricopa County, Arizona",2021,274
1400000US04013061022,4.0E+09,"Census Tract 610.22, Maricopa County, Arizona",10846,800
1400000US04013061023,4.0E+09,"Census Tract 610.23, Maricopa County, Arizona",11167,783
1400000US04013061024,4.0E+09,"Census Tract 610.24, Maricopa County, Arizona",2468,306
1400000US04013061025,4.0E+09,"Census Tract 610.25, Maricopa County, Arizona",7313,1003
1400000US04013061026,4.0E+09,"Census Tract 610.26, Maricopa County, Arizona",5358,496
1400000US04013061027,4.0E+09,"Census Tract 610.27, Maricopa County, Arizona",4840,767
1400000US04013061028,4.0E+09,"Census Tract 610.28, Maricopa County, Arizona",2347,364
1400000US04013061029,4.0E+09,"Census Tract 610.29, Maricopa County, Arizona",4928,576
1400000US04013061030,4.0E+09,"Census Tract 610.30, Maricopa County, Arizona",7684,765
1400000US04013061031,4.0E+09,"Census Tract 610.31, Maricopa County, Arizona",3710,624
1400000US04013061032,4.0E+09,"Census Tract 610.32, Maricopa County, Arizona",6009,827
1400000US04013061033,4.0E+09,"Census Tract 610.33, Maricopa County, Arizona",6422,582
1400000US04013061034,4.0E+09,"Census Tract 610.34, Maricopa County, Arizona",6230,712
1400000US04013061035,4.0E+09,"Census Tract 610.35, Maricopa County, Arizona",7221,519
1400000US04013061036,4.0E+09,"Census Tract 610.36, Maricopa County, Arizona",2926,595
1400000US04013061037,4.0E+09,"Census Tract 610.37, Maricopa County, Arizona",4959,514
1400000US04013061038,4.0E+09,"Census Tract 610.38, Maricopa County, Arizona",4440,849
1400000US04013061039,4.0E+09,"Census Tract 610.39, Maricopa County, Arizona",4337,473
1400000US04013061040,4.0E+09,"Census Tract 610.40, Maricopa County, Arizona",4349,421
1400000US04013061041,4.0E+09,"Census Tract 610.41, Maricopa County, Arizona",4567,531
1400000US04013061042,4.0E+09,"Census Tract 610.42, Maricopa County, Arizona",2353,487
1400000US04013061043,4.0E+09,"Census Tract 610.43, Maricopa County, Arizona",2596,273
1400000US04013061044,4.0E+09,"Census Tract 610.44, Maricopa County, Arizona",6264,747
1400000US04013061045,4.0E+09,"Census Tract 610.45, Maricopa County, Arizona",5352,496
1400000US04013061046,4.0E+09,"Census Tract 610.46, Maricopa County, Arizona",5862,699
1400000US04013061047,4.0E+09,"Census Tract 610.47, Maricopa County, Arizona",3391,268
1400000US04013061100,4.0E+09,"Census Tract 611, Maricopa County, Arizona",2551,371
1400000US04013061200,4.0E+09,"Census Tract 612, Maricopa County, Arizona",5829,534
1400000US04013061300,4.0E+09,"Census Tract 613, Maricopa County, Arizona",2028,234
1400000US04013061401,4.0E+09,"Census Tract 614.01, Maricopa County, Arizona",1833,287
1400000US04013061402,4.0E+09,"Census Tract 614.02, Maricopa County, Arizona",5034,606
1400000US04013071503,4.0E+09,"Census Tract 715.03, Maricopa County, Arizona",4726,349
1400000US04013071504,4.0E+09,"Census Tract 715.04, Maricopa County, Arizona",3496,283
1400000US04013071505,4.0E+09,"Census Tract 715.05, Maricopa County, Arizona",6467,486
1400000US04013071506,4.0E+09,"Census Tract 715.06, Maricopa County, Arizona",3999,293
1400000US04013071509,4.0E+09,"Census Tract 715.09, Maricopa County, Arizona",5868,481
1400000US04013071510,4.0E+09,"Census Tract 715.10, Maricopa County, Arizona",4330,337
1400000US04013071511,4.0E+09,"Census Tract 715.11, Maricopa County, Arizona",3375,331
1400000US04013071512,4.0E+09,"Census Tract 715.12, Maricopa County, Arizona",6130,501
1400000US04013071513,4.0E+09,"Census Tract 715.13, Maricopa County, Arizona",1725,135
1400000US04013071514,4.0E+09,"Census Tract 715.14, Maricopa County, Arizona",4525,434
1400000US04013071515,4.0E+09,"Census Tract 715.15, Maricopa County, Arizona",3632,355
1400000US04013071516,4.0E+09,"Census Tract 715.16, Maricopa County, Arizona",3065,367
1400000US04013071517,4.0E+09,"Census Tract 715.17, Maricopa County, Arizona",3934,286
1400000US04013071600,4.0E+09,"Census Tract 716, Maricopa County, Arizona",3540,208
1400000US04013071701,4.0E+09,"Census Tract 717.01, Maricopa County, Arizona",3045,273
1400000US04013071702,4.0E+09,"Census Tract 717.02, Maricopa County, Arizona",3195,334
1400000US04013071801,4.0E+09,"Census Tract 718.01, Maricopa County, Arizona",4857,540
1400000US04013071802,4.0E+09,"Census Tract 718.02, Maricopa County, Arizona",3357,269
1400000US04013071903,4.0E+09,"Census Tract 719.03, Maricopa County, Arizona",6897,689
1400000US04013071906,4.0E+09,"Census Tract 719.06, Maricopa County, Arizona",5844,507
1400000US04013071909,4.0E+09,"Census Tract 719.09, Maricopa County, Arizona",4195,326
1400000US04013071910,4.0E+09,"Census Tract 719.10, Maricopa County, Arizona",7303,773
1400000US04013071911,4.0E+09,"Census Tract 719.11, Maricopa County, Arizona",3450,329
1400000US04013071912,4.0E+09,"Census Tract 719.12, Maricopa County, Arizona",2757,464
1400000US04013071913,4.0E+09,"Census Tract 719.13, Maricopa County, Arizona",5109,691
1400000US04013071914,4.0E+09,"Census Tract 719.14, Maricopa County, Arizona",3635,398
1400000US04013071915,4.0E+09,"Census Tract 719.15, Maricopa County, Arizona",3666,612
